name,team_name,game_date,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,dribbles,touch_time,defender_name,defender_distance,defender_height,isClutch,year
Randy Foye,Denver Nuggets,2014-02-03,0,1,Fadeaway Jump Shot,3PT Field Goal,29,1,1.7,"Griffin, Blake",4.0,81.0,1,2014
Mike Dunleavy,Chicago Bulls,2013-12-13,5,1,Jump Bank Shot,3PT Field Goal,26,0,0.7,"Henson, John",4.8,81.0,1,2014
Jameer Nelson,Orlando Magic,2014-01-19,11,0,Jump Shot,3PT Field Goal,24,0,0.9,"Bradley, Avery",3.8,75.0,1,2014
JR Smith,New York Knicks,2014-04-04,2,0,Jump Shot,3PT Field Goal,24,0,0.9,"Beal, Bradley",2.5,75.0,1,2014
Kevin Love,Minnesota Timberwolves,2014-04-04,1,0,Jump Shot,3PT Field Goal,24,1,2.2,"Bosh, Chris",3.9,83.0,1,2014
Rodney Stuckey,Detroit Pistons,2014-01-22,0,0,Jump Shot,3PT Field Goal,24,0,1.0,"Middleton, Khris",0.4,79.0,1,2014
Randy Foye,Denver Nuggets,2014-01-23,17,0,Jump Shot,3PT Field Goal,27,6,5.9,"Lillard, Damian",4.2,74.0,1,2014
Jimmy Butler,Chicago Bulls,2014-01-17,0,0,Jump Shot,3PT Field Goal,25,6,7.5,Nene,1.1,83.0,1,2014
Evan Fournier,Denver Nuggets,2013-10-30,29,0,Jump Shot,3PT Field Goal,23,0,0.7,"Cousins, DeMarcus",5.4,83.0,1,2014
Trevor Ariza,Washington Wizards,2013-12-09,5,0,Jump Shot,3PT Field Goal,22,0,4.2,"Foye, Randy",5.3,76.0,1,2014
Jose Calderon,Dallas Mavericks,2014-01-15,3,0,Jump Shot,3PT Field Goal,25,0,0.8,"Crawford, Jamal",4.7,77.0,1,2014
Robbie Hummel,Minnesota Timberwolves,2014-03-19,2,0,Jump Shot,3PT Field Goal,23,0,0.8,"Nowitzki, Dirk",9.2,84.0,1,2014
Al Harrington,Washington Wizards,2014-02-27,20,0,Jump Shot,3PT Field Goal,22,0,0.6,"Patterson, Patrick",6.3,80.0,1,2014
Dion Waiters,Cleveland Cavaliers,2014-02-09,0,0,Jump Shot,3PT Field Goal,32,4,3.4,"Lee, Courtney",4.7,77.0,1,2014
Anthony Morrow,New Orleans Pelicans,2014-03-12,15,0,Jump Shot,3PT Field Goal,26,0,0.6,"Johnson, James",4.4,79.0,1,2014
Kevin Durant,Oklahoma City Thunder,2013-10-30,20,0,Jump Shot,3PT Field Goal,24,4,10.2,"Hayward, Gordon",4.5,79.0,1,2014
