name,team_name,game_date,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,dribbles,touch_time,defender_name,defender_distance,defender_height,isClutch,year
Randy Foye,Denver Nuggets,2014-04-06,0,0,Fadeaway Jump Shot,2PT Field Goal,11,5,5.6,"Harden, James",2.9,77.0,1,2014
Isaiah Thomas,Sacramento Kings,2013-12-03,1,0,Fadeaway Jump Shot,2PT Field Goal,14,1,1.3,"Westbrook, Russell",5.1,75.0,1,2014
Victor Oladipo,Orlando Magic,2013-11-23,1,0,Fadeaway Jump Shot,2PT Field Goal,11,0,1.4,"James, LeBron",10.7,81.0,1,2014
Wilson Chandler,Denver Nuggets,2014-02-18,0,0,Fadeaway Jump Shot,2PT Field Goal,13,1,2.5,"Frye, Channing",2.2,84.0,1,2014
Kevin Durant,Oklahoma City Thunder,2013-11-29,0,0,Fadeaway Jump Shot,2PT Field Goal,15,3,4.3,"Barnes, Harrison",4.6,80.0,1,2014
Glen Davis,Orlando Magic,2014-01-22,11,0,Fadeaway Jump Shot,2PT Field Goal,13,1,2.0,"Millsap, Paul",3.2,79.0,1,2014
Gerald Henderson,Charlotte Bobcats,2013-12-28,0,0,Fadeaway Jump Shot,2PT Field Goal,18,1,1.4,"Carroll, DeMarre",3.3,78.0,1,2014
Kevin Durant,Oklahoma City Thunder,2013-11-29,25,0,Fadeaway Jump Shot,2PT Field Goal,16,1,2.9,"Thompson, Klay",3.2,78.0,1,2014
Gordon Hayward,Utah Jazz,2013-11-25,8,0,Fadeaway Jump Shot,2PT Field Goal,14,6,20.7,"Gibson, Taj",4.5,81.0,1,2014
John Wall,Washington Wizards,2013-12-13,0,0,Fadeaway Jump Shot,2PT Field Goal,20,6,4.9,"Carroll, DeMarre",1.9,78.0,1,2014
Arron Afflalo,Orlando Magic,2014-02-07,29,0,Floating Jump shot,2PT Field Goal,12,2,1.4,"Ibaka, Serge",3.4,84.0,1,2014
Andrew Bynum,Cleveland Cavaliers,2013-11-30,19,0,Hook Shot,2PT Field Goal,11,1,5.4,"Noah, Joakim",4.4,83.0,1,2014
Kelly Olynyk,Boston Celtics,2013-11-09,6,0,Jump Bank Shot,2PT Field Goal,15,0,0.1,"Wade, Dwyane",1.5,76.0,1,2014
Chris Paul,Los Angeles Clippers,2014-04-02,20,0,Jump Shot,2PT Field Goal,22,4,3.3,"Morris, Markieff",3.7,80.0,1,2014
Kemba Walker,Charlotte Bobcats,2013-12-23,16,1,Jump Shot,2PT Field Goal,12,23,17.1,"Knight, Brandon",2.7,74.0,1,2014
Kyle Lowry,Toronto Raptors,2014-01-20,25,1,Jump Shot,2PT Field Goal,14,9,7.6,"Kidd-Gilchrist, Michael",1.5,78.0,1,2014
Trey Burke,Utah Jazz,2014-02-08,24,1,Jump Shot,2PT Field Goal,18,23,21.0,"Bosh, Chris",4.6,83.0,1,2014
Nene,Washington Wizards,2014-01-22,0,0,Jump Shot,2PT Field Goal,19,0,0.6,"Humphries, Kris",6.7,81.0,1,2014
James Harden,Houston Rockets,2013-11-11,0,0,Jump Shot,2PT Field Goal,20,7,6.6,"Gay, Rudy",2.0,80.0,1,2014
Kyrie Irving,Cleveland Cavaliers,2014-04-05,25,1,Jump Shot,2PT Field Goal,17,7,5.7,"Walker, Kemba",3.6,72.0,1,2014
Kemba Walker,Charlotte Bobcats,2014-04-05,0,0,Jump Shot,2PT Field Goal,22,4,3.9,"Irving, Kyrie",2.2,74.0,1,2014
Joe Johnson,Brooklyn Nets,2014-01-10,14,0,Jump Shot,2PT Field Goal,15,10,8.4,"Bosh, Chris",3.5,83.0,1,2014
LaMarcus Aldridge,Portland Trail Blazers,2013-11-17,14,0,Jump Shot,2PT Field Goal,18,1,1.9,"Gay, Rudy",2.7,80.0,1,2014
Kevin Garnett,Brooklyn Nets,2013-11-08,14,0,Jump Shot,2PT Field Goal,19,0,0.6,Nene,7.4,83.0,1,2014
DeMarcus Cousins,Sacramento Kings,2014-04-06,0,0,Jump Shot,2PT Field Goal,16,1,1.4,"Nowitzki, Dirk",5.5,84.0,1,2014
Khris Middleton,Milwaukee Bucks,2013-12-18,0,0,Jump Shot,2PT Field Goal,15,0,1.0,"Anthony, Carmelo",3.3,80.0,1,2014
Kyle Korver,Atlanta Hawks,2013-11-03,2,0,Jump Shot,2PT Field Goal,20,0,0.7,"Gasol, Pau",2.6,84.0,1,2014
Harrison Barnes,Golden State Warriors,2013-12-25,20,0,Jump Shot,2PT Field Goal,17,4,6.4,"Paul, Chris",2.1,73.0,1,2014
Josh Smith,Detroit Pistons,2014-01-07,9,0,Jump Shot,2PT Field Goal,17,0,3.6,"Anthony, Carmelo",5.4,80.0,1,2014
Ray McCallum,Sacramento Kings,2014-04-09,0,0,Jump Shot,2PT Field Goal,21,8,6.0,"Lillard, Damian",4.5,74.0,1,2014
Monta Ellis,Dallas Mavericks,2013-12-30,21,0,Jump Shot,2PT Field Goal,19,24,16.8,"Brewer, Corey",5.4,81.0,1,2014
Kevin Martin,Minnesota Timberwolves,2013-11-11,3,0,Jump Shot,2PT Field Goal,15,10,9.0,"Redick, JJ",2.9,75.0,1,2014
Evan Fournier,Denver Nuggets,2014-02-18,18,0,Jump Shot,2PT Field Goal,10,18,14.9,"Green, Gerald",4.4,79.0,1,2014
Marc Gasol,Memphis Grizzlies,2014-02-11,26,1,Jump Shot,2PT Field Goal,20,0,0.7,"Wall, John",6.8,76.0,1,2014
LaMarcus Aldridge,Portland Trail Blazers,2014-02-11,2,0,Jump Shot,2PT Field Goal,19,0,1.7,"Perkins, Kendrick",4.4,82.0,1,2014
Brandon Jennings,Detroit Pistons,2014-03-26,3,0,Jump Shot,2PT Field Goal,10,9,13.2,"Dellavedova, Matthew",3.8,75.0,1,2014
Brandon Knight,Milwaukee Bucks,2014-01-22,6,0,Jump Shot,2PT Field Goal,21,25,20.9,"Jennings, Brandon",1.5,73.0,1,2014
Isaiah Thomas,Sacramento Kings,2013-12-27,20,0,Jump Shot,2PT Field Goal,17,0,1.7,"Cole, Norris",1.6,74.0,1,2014
Kevin Durant,Oklahoma City Thunder,2013-12-27,25,0,Jump Shot,2PT Field Goal,18,6,5.8,"Henderson, Gerald",3.5,77.0,1,2014
Henry Sims,Philadelphia 76ers,2014-04-14,25,1,Jump Shot,2PT Field Goal,15,0,0.8,"Olynyk, Kelly",6.2,83.0,1,2014
Tiago Splitter,San Antonio Spurs,2014-02-05,0,0,Jump Shot,2PT Field Goal,12,0,0.1,"Ariza, Trevor",3.6,80.0,1,2014
Dirk Nowitzki,Dallas Mavericks,2013-11-23,17,0,Jump Shot,2PT Field Goal,19,2,4.1,"Chandler, Wilson",3.5,80.0,1,2014
Kris Humphries,Boston Celtics,2014-01-29,11,0,Jump Shot,2PT Field Goal,15,0,0.8,"Hawes, Spencer",9.0,85.0,1,2014
Paul Millsap,Atlanta Hawks,2014-01-10,26,0,Jump Shot,2PT Field Goal,17,0,2.0,"Brooks, Aaron",1.9,72.0,1,2014
Nikola Pekovic,Minnesota Timberwolves,2013-12-22,1,0,Jump Shot,2PT Field Goal,10,0,0.8,"Dudley, Jared",5.7,78.0,1,2014
Rudy Gay,Sacramento Kings,2014-02-01,1,0,Jump Shot,2PT Field Goal,14,2,2.5,"Diaw, Boris",1.5,80.0,1,2014
Dirk Nowitzki,Dallas Mavericks,2014-01-03,16,0,Jump Shot,2PT Field Goal,11,1,2.5,"Crawford, Jamal",6.3,77.0,1,2014
Jamal Crawford,Los Angeles Clippers,2014-01-03,30,0,Jump Shot,2PT Field Goal,19,8,10.4,"Ellis, Monta",3.8,75.0,1,2014
Anderson Varejao,Cleveland Cavaliers,2013-10-30,28,1,Jump Shot,2PT Field Goal,13,0,0.9,"Pierce, Paul",4.8,79.0,1,2014
Nene,Washington Wizards,2014-01-22,10,0,Jump Shot,2PT Field Goal,15,0,0.8,"Bass, Brandon",8.3,80.0,1,2014
DeMarcus Cousins,Sacramento Kings,2013-11-23,1,0,Jump Shot,2PT Field Goal,15,0,0.9,"Jordan, DeAndre",1.1,83.0,1,2014
Patty Mills,San Antonio Spurs,2014-02-05,0,0,Jump Shot,2PT Field Goal,12,1,1.5,"Wall, John",6.8,76.0,1,2014
Carmelo Anthony,New York Knicks,2014-02-12,1,0,Jump Shot,2PT Field Goal,15,3,4.2,"Gay, Rudy",1.7,80.0,1,2014
Jeremy Lin,Houston Rockets,2014-01-10,6,1,Jump Shot,2PT Field Goal,21,0,0.7,"Korver, Kyle",4.3,79.0,1,2014
Jarrett Jack,Cleveland Cavaliers,2014-03-25,12,0,Jump Shot,2PT Field Goal,21,17,19.0,"Lowry, Kyle",2.4,72.0,1,2014
Khris Middleton,Milwaukee Bucks,2013-12-20,0,0,Jump Shot,2PT Field Goal,17,0,1.1,"Thompson, Tristan",2.4,81.0,1,2014
Serge Ibaka,Oklahoma City Thunder,2014-04-09,16,0,Jump Shot,2PT Field Goal,13,0,0.7,"Griffin, Blake",2.5,81.0,1,2014
DeMar DeRozan,Toronto Raptors,2014-02-19,2,0,Jump Shot,2PT Field Goal,13,0,0.5,"Butler, Jimmy",3.0,79.0,1,2014
Mike Miller,Memphis Grizzlies,2014-03-26,26,0,Jump Shot,2PT Field Goal,18,3,2.8,"Jefferson, Richard",1.9,79.0,1,2014
Kevin Garnett,Brooklyn Nets,2014-01-08,23,0,Jump Shot,2PT Field Goal,12,0,2.7,"Bogut, Andrew",3.4,84.0,1,2014
Chris Paul,Los Angeles Clippers,2013-12-26,1,0,Jump Shot,2PT Field Goal,17,3,3.0,"Batum, Nicolas",6.3,81.0,1,2014
Spencer Hawes,Philadelphia 76ers,2013-11-02,5,1,Jump Shot,2PT Field Goal,15,1,2.2,"Butler, Jimmy",8.0,79.0,1,2014
Wilson Chandler,Denver Nuggets,2014-01-23,8,0,Jump Shot,2PT Field Goal,16,2,1.7,"Batum, Nicolas",1.3,81.0,1,2014
Kevin Martin,Minnesota Timberwolves,2013-11-19,25,0,Jump Shot,2PT Field Goal,15,3,3.5,"Beal, Bradley",1.1,75.0,1,2014
Nikola Pekovic,Minnesota Timberwolves,2013-12-22,0,0,Jump Shot,2PT Field Goal,19,0,1.6,"Paul, Chris",2.3,73.0,1,2014
Kevin Martin,Minnesota Timberwolves,2014-01-24,8,1,Jump Shot,2PT Field Goal,19,0,1.0,"Thompson, Klay",3.5,78.0,1,2014
Beno Udrih,New York Knicks,2013-12-18,19,0,Jump Shot,2PT Field Goal,10,2,2.0,"Knight, Brandon",1.3,74.0,1,2014
