name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Darren Collison,2014,1,0,27,3.9,78.0,Fadeaway Jump Shot,0,0.8
Stephen Curry,2014,1,0,27,2.9,80.0,Fadeaway Jump Shot,7,6.9
CJ Miles,2014,1,0,22,2.4,75.0,Fadeaway Jump Shot,0,1.0
Iman Shumpert,2014,0,0,23,4.9,84.0,Fadeaway Jump Shot,0,0.7
Nick Young,2014,0,0,25,4.0,76.0,Fadeaway Jump Shot,1,1.8
Ty Lawson,2014,0,0,25,4.4,75.0,Fadeaway Jump Shot,1,1.1
Nick Young,2014,1,0,25,2.8,81.0,Fadeaway Jump Shot,21,18.7
Aaron Brooks,2014,1,0,23,3.6,78.0,Fadeaway Jump Shot,6,6.5
Marcus Thornton,2014,1,0,22,6.1,79.0,Fadeaway Jump Shot,0,0.7
James Anderson,2014,0,0,25,4.2,78.0,Fadeaway Jump Shot,1,0.8
Ben McLemore,2014,0,0,23,1.7,77.0,Fadeaway Jump Shot,1,1.3
Kevin Love,2014,0,0,26,4.4,83.0,Fadeaway Jump Shot,0,0.8
Paul George,2014,1,0,22,3.0,78.0,Fadeaway Jump Shot,8,7.6
Paul George,2014,0,0,30,2.5,78.0,Fadeaway Jump Shot,3,8.1
Kevin Love,2014,1,0,25,4.8,83.0,Fadeaway Jump Shot,0,0.7
Jordan Crawford,2014,0,0,26,3.9,73.0,Fadeaway Jump Shot,4,4.2
Vince Carter,2014,1,0,27,5.4,77.0,Fadeaway Jump Shot,2,2.8
Jimmy Butler,2014,0,0,26,7.7,77.0,Floating Jump shot,0,0.8
Evan Fournier,2014,0,0,24,6.4,75.0,Floating Jump shot,0,0.7
Vince Carter,2014,1,0,24,4.7,83.0,Floating Jump shot,0,0.8
Caron Butler,2014,0,0,25,1.5,78.0,Floating Jump shot,0,1.0
DeMar DeRozan,2014,0,0,29,1.5,79.0,Hook Shot,1,1.8
Stephen Curry,2014,1,0,30,5.0,75.0,Jump Bank Shot,1,1.6
James Harden,2014,1,0,24,5.4,79.0,Jump Bank Shot,0,1.1
Evan Turner,2014,1,0,23,3.8,75.0,Jump Bank Shot,0,0.9
Mo Williams,2014,1,0,25,3.8,83.0,Jump Bank Shot,15,11.3
Tony Wroten,2014,1,0,62,7.6,83.0,Jump Bank Shot,0,0.9
Gerald Green,2014,1,0,24,4.1,75.0,Jump Bank Shot,2,4.6
Marc Gasol,2014,1,0,60,8.3,84.0,Jump Bank Shot,1,2.0
John Wall,2014,1,0,29,6.0,75.0,Jump Bank Shot,3,6.0
Iman Shumpert,2014,1,0,23,4.8,81.0,Jump Bank Shot,0,1.0
Iman Shumpert,2014,1,0,23,2.6,81.0,Jump Bank Shot,0,1.3
Manu Ginobili,2014,0,0,25,3.9,84.0,Jump Bank Shot,5,4.5
Monta Ellis,2014,1,0,25,3.8,78.0,Jump Bank Shot,10,9.9
Jeremy Lin,2014,0,0,25,3.7,84.0,Jump Bank Shot,0,0.0
Ramon Sessions,2014,0,0,39,4.4,80.0,Jump Bank Shot,3,3.0
Nicolas Batum,2014,1,0,24,2.6,77.0,Jump Bank Shot,0,0.9
Ramon Sessions,2014,1,0,25,6.3,76.0,Jump Bank Shot,0,0.9
James Anderson,2014,1,0,25,11.5,75.0,Jump Bank Shot,0,0.9
Russell Westbrook,2014,0,0,29,2.7,73.0,Jump Bank Shot,3,1.5
Manu Ginobili,2014,0,0,25,5.6,72.0,Jump Bank Shot,0,1.0
Serge Ibaka,2014,1,0,25,9.7,84.0,Jump Bank Shot,0,1.2
Nick Young,2014,1,0,25,2.5,80.0,Jump Bank Shot,0,1.8
Alan Anderson,2014,1,0,22,3.2,75.0,Jump Bank Shot,0,1.8
Dirk Nowitzki,2014,1,0,24,4.8,82.0,Jump Bank Shot,0,0.8
Corey Brewer,2014,1,0,25,5.0,74.0,Jump Bank Shot,0,0.7
James Johnson,2014,0,0,26,7.1,79.0,Jump Bank Shot,1,2.1
Bradley Beal,2014,1,0,30,3.2,77.0,Jump Bank Shot,0,0.6
Russell Westbrook,2014,1,0,24,2.9,76.0,Jump Bank Shot,11,9.0
Trey Burke,2014,1,0,31,4.8,81.0,Jump Bank Shot,3,3.0
Darius Miller,2014,0,0,24,4.3,82.0,Jump Bank Shot,1,2.2
James Anderson,2014,0,0,26,5.5,75.0,Jump Bank Shot,2,2.0
Kevin Durant,2014,1,0,25,4.2,81.0,Jump Bank Shot,5,5.8
Kevin Durant,2014,0,0,29,3.9,73.0,Jump Bank Shot,5,3.8
Rajon Rondo,2014,1,0,25,3.2,75.0,Jump Shot,6,5.2
Rajon Rondo,2014,1,0,24,5.0,75.0,Jump Shot,14,12.3
Rajon Rondo,2014,1,0,25,7.6,75.0,Jump Shot,0,1.3
Rudy Gay,2014,1,0,22,6.4,78.0,Jump Shot,0,0.8
Ben McLemore,2014,1,0,24,5.5,78.0,Jump Shot,0,1.0
Greivis Vasquez,2014,0,0,26,6.2,75.0,Jump Shot,0,0.8
