name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Jrue Holiday,2014,0,0,11,2.1,73.0,Driving Bank shot,2,2.8
Kris Humphries,2014,1,0,11,1.2,86.0,Driving Bank shot,1,2.4
Gerald Henderson,2014,0,0,15,0.5,81.0,Driving Bank shot,4,4.2
DeMar DeRozan,2014,1,0,11,3.4,84.0,Driving Bank shot,1,1.5
Stephen Curry,2014,1,0,12,4.2,72.0,Driving Bank shot,8,6.2
Manu Ginobili,2014,1,0,10,1.3,78.0,Driving Bank shot,6,6.7
Stephen Curry,2014,1,0,13,4.2,80.0,Driving Bank shot,0,0.0
DeMar DeRozan,2014,1,0,11,1.9,79.0,Driving Bank shot,3,2.7
Zach Randolph,2014,1,0,11,1.8,82.0,Driving Hook Shot,2,4.2
Paul George,2014,1,0,11,5.1,76.0,Driving Jump shot,26,18.2
JR Smith,2014,0,0,13,4.1,78.0,Driving Jump shot,2,4.2
Tobias Harris,2014,1,0,10,1.7,78.0,Driving Jump shot,7,6.0
Jeff Teague,2014,0,0,12,3.7,83.0,Driving Jump shot,1,1.3
Harrison Barnes,2014,0,0,12,0.8,80.0,Driving Jump shot,0,0.1
David West,2014,1,0,11,2.4,75.0,Driving Jump shot,1,2.8
Brandon Jennings,2014,0,0,12,3.1,75.0,Driving Jump shot,9,7.6
Kemba Walker,2014,0,0,15,6.1,73.0,Driving Jump shot,3,4.4
Luol Deng,2014,0,0,12,3.6,83.0,Driving Jump shot,2,1.6
Jeff Teague,2014,0,0,12,3.8,73.0,Driving Jump shot,6,5.2
Jeff Teague,2014,0,0,15,1.0,77.0,Driving Jump shot,3,2.8
Kyle Lowry,2014,0,0,10,1.6,75.0,Driving Jump shot,11,9.0
Carmelo Anthony,2014,1,0,10,4.9,79.0,Driving Jump shot,9,9.2
DeMar DeRozan,2014,1,0,14,5.7,81.0,Driving Jump shot,0,0.3
Kyle Korver,2014,0,0,11,6.3,81.0,Driving Jump shot,1,2.4
Chris Bosh,2014,1,0,12,2.8,76.0,Driving Jump shot,1,1.6
Terrence Ross,2014,0,0,10,1.3,86.0,Driving Jump shot,2,2.5
DeMar DeRozan,2014,0,0,11,3.5,81.0,Driving Jump shot,2,3.6
Jeff Teague,2014,1,0,12,3.4,72.0,Driving Jump shot,6,6.7
Courtney Lee,2014,0,0,10,1.2,79.0,Driving Jump shot,1,2.0
Gerald Henderson,2014,1,0,16,4.5,79.0,Driving Jump shot,3,5.2
Jeff Teague,2014,0,0,12,2.9,82.0,Driving Jump shot,3,3.1
Jeff Teague,2014,0,0,13,1.9,75.0,Driving Jump shot,3,2.2
Terrence Ross,2014,0,0,12,2.0,81.0,Driving Jump shot,3,3.9
Paul Millsap,2014,0,0,11,3.8,83.0,Driving Jump shot,4,4.5
Kevin Durant,2014,1,0,14,1.5,78.0,Driving Jump shot,4,4.6
Jeff Teague,2014,0,0,12,2.6,82.0,Driving Jump shot,3,3.4
Rudy Gay,2014,1,0,11,3.4,72.0,Driving Jump shot,0,0.7
Terrence Ross,2014,0,0,21,3.7,81.0,Driving Jump shot,2,3.1
Vince Carter,2014,0,0,11,1.4,81.0,Driving Jump shot,1,4.4
Kemba Walker,2014,1,0,15,4.1,74.0,Driving Jump shot,4,3.2
Gordon Hayward,2014,0,0,12,2.8,75.0,Driving Jump shot,1,1.4
Paul Millsap,2014,0,0,11,2.9,81.0,Driving Jump shot,3,4.0
Paul Millsap,2014,0,0,12,1.3,80.0,Driving Jump shot,3,3.0
Kyle Korver,2014,0,0,16,2.8,77.0,Driving Jump shot,0,1.2
Paul George,2014,0,0,10,5.1,78.0,Driving Jump shot,26,21.4
Gordon Hayward,2014,1,0,10,3.0,81.0,Driving Jump shot,2,3.9
Jeff Teague,2014,0,0,10,2.9,75.0,Driving Jump shot,7,6.6
Monta Ellis,2014,1,0,13,2.1,75.0,Driving Jump shot,1,2.0
Gordon Hayward,2014,1,0,11,6.4,75.0,Driving Jump shot,1,2.0
Kyle Korver,2014,0,0,18,3.7,77.0,Driving Jump shot,1,1.8
Jeff Teague,2014,0,0,12,3.1,74.0,Driving Jump shot,4,2.8
Jeff Teague,2014,0,0,10,0.8,73.0,Driving Jump shot,8,6.8
Kemba Walker,2014,0,0,10,3.5,79.0,Driving Jump shot,3,3.0
Chris Paul,2014,1,0,10,2.9,78.0,Driving Jump shot,1,2.5
Kyle Korver,2014,0,0,14,1.7,79.0,Driving Jump shot,2,1.5
Kyle Korver,2014,0,0,16,2.0,78.0,Driving Jump shot,2,1.8
Trey Burke,2014,0,0,10,4.8,75.0,Driving Jump shot,2,2.2
DeMarcus Cousins,2014,0,0,10,1.1,81.0,Driving Jump shot,1,1.8
Monta Ellis,2014,1,0,10,2.5,76.0,Driving Jump shot,3,2.9
JR Smith,2014,1,0,10,4.6,82.0,Driving Jump shot,5,5.7
Monta Ellis,2014,0,0,11,5.0,79.0,Driving Jump shot,1,1.7
Kyle Lowry,2014,0,0,11,2.3,83.0,Driving Jump shot,0,0.0
Jeff Teague,2014,1,0,12,1.1,75.0,Driving Jump shot,6,6.6
Monta Ellis,2014,1,0,11,4.0,83.0,Driving Jump shot,3,2.3
Monta Ellis,2014,1,0,10,2.6,80.0,Driving Jump shot,11,9.1
Kyle Korver,2014,1,0,11,3.5,86.0,Driving Jump shot,2,2.4
Carmelo Anthony,2014,1,0,10,4.9,81.0,Driving Jump shot,3,5.9
Jeff Teague,2014,0,0,12,4.9,82.0,Driving Jump shot,13,8.3
Joe Johnson,2014,1,0,14,5.2,78.0,Driving Jump shot,4,4.8
Jeff Teague,2014,0,0,10,3.1,74.0,Driving Jump shot,0,0.9
JR Smith,2014,0,0,17,5.7,83.0,Driving Jump shot,6,5.5
Joe Johnson,2014,0,0,10,2.4,78.0,Driving Jump shot,2,6.0
Goran Dragic,2014,1,0,12,3.3,84.0,Fadeaway Bank shot,4,4.1
Mo Williams,2014,0,0,16,3.7,80.0,Fadeaway Bank shot,8,7.7
Dwyane Wade,2014,1,0,11,3.4,83.0,Fadeaway Bank shot,1,1.7
DeMarcus Cousins,2014,1,0,13,1.9,72.0,Fadeaway Bank shot,1,2.6
Kevin Love,2014,1,0,11,4.7,83.0,Fadeaway Bank shot,1,4.4
Damian Lillard,2014,1,0,10,4.4,78.0,Fadeaway Bank shot,6,4.5
Isaiah Thomas,2014,1,0,11,3.4,74.0,Fadeaway Bank shot,16,11.0
LeBron James,2014,1,0,12,4.6,75.0,Fadeaway Bank shot,3,4.3
LeBron James,2014,1,0,12,3.3,75.0,Fadeaway Bank shot,5,5.9
Dwyane Wade,2014,1,0,15,3.1,76.0,Fadeaway Bank shot,2,2.6
Jimmy Butler,2014,1,0,22,2.9,80.0,Fadeaway Bank shot,3,5.9
Jamal Crawford,2014,1,0,16,3.2,82.0,Fadeaway Bank shot,1,2.8
Andrew Bynum,2014,1,0,11,2.5,83.0,Fadeaway Bank shot,4,5.3
DeMar DeRozan,2014,1,0,15,1.5,78.0,Fadeaway Bank shot,4,4.2
Jeremy Lin,2014,1,0,10,3.5,72.0,Fadeaway Bank shot,0,0.0
Jameer Nelson,2014,0,0,11,3.6,76.0,Fadeaway Bank shot,10,8.6
Dwyane Wade,2014,0,0,12,3.9,77.0,Fadeaway Bank shot,7,9.8
Gerald Henderson,2014,1,0,13,3.4,80.0,Fadeaway Bank shot,6,6.2
Rudy Gay,2014,0,0,17,1.1,77.0,Fadeaway Bank shot,3,7.8
Nate Robinson,2014,0,0,13,5.3,75.0,Fadeaway Bank shot,4,3.0
Carmelo Anthony,2014,1,0,15,2.7,78.0,Fadeaway Jump Shot,4,9.6
Tim Duncan,2014,0,0,13,1.9,83.0,Fadeaway Jump Shot,4,8.2
JR Smith,2014,1,0,17,4.5,78.0,Fadeaway Jump Shot,6,5.4
Joe Johnson,2014,0,0,17,3.7,80.0,Fadeaway Jump Shot,6,8.0
Carmelo Anthony,2014,1,0,15,4.8,78.0,Fadeaway Jump Shot,1,1.7
Carmelo Anthony,2014,0,0,21,4.6,80.0,Fadeaway Jump Shot,17,15.4
Kyrie Irving,2014,0,0,16,4.2,78.0,Fadeaway Jump Shot,1,2.1
Derrick Favors,2014,1,0,15,3.1,81.0,Fadeaway Jump Shot,2,2.2
Caron Butler,2014,0,0,13,4.5,81.0,Fadeaway Jump Shot,3,3.6
Carmelo Anthony,2014,1,0,13,3.3,81.0,Fadeaway Jump Shot,1,3.5
Gerald Henderson,2014,0,0,17,3.2,79.0,Fadeaway Jump Shot,1,2.0
Arron Afflalo,2014,1,0,16,3.8,82.0,Fadeaway Jump Shot,5,4.3
Kevin Durant,2014,0,0,11,2.3,73.0,Fadeaway Jump Shot,2,3.0
Paul Pierce,2014,1,0,17,3.6,80.0,Fadeaway Jump Shot,6,5.7
Kyrie Irving,2014,1,0,10,2.7,77.0,Fadeaway Jump Shot,16,10.4
Kevin Durant,2014,0,0,16,2.9,72.0,Fadeaway Jump Shot,0,0.5
Kyle Lowry,2014,0,0,15,3.3,83.0,Fadeaway Jump Shot,9,6.2
Dirk Nowitzki,2014,1,0,20,2.0,83.0,Fadeaway Jump Shot,0,1.5
Kevin Durant,2014,1,0,16,2.8,77.0,Fadeaway Jump Shot,0,2.6
Dirk Nowitzki,2014,0,0,11,2.2,73.0,Fadeaway Jump Shot,2,4.4
Kevin Durant,2014,0,0,14,3.1,79.0,Fadeaway Jump Shot,1,1.7
JR Smith,2014,0,0,12,6.1,78.0,Fadeaway Jump Shot,3,2.9
Vince Carter,2014,1,0,11,2.7,80.0,Fadeaway Jump Shot,1,5.0
Jerryd Bayless,2014,0,0,16,5.6,83.0,Fadeaway Jump Shot,9,6.2
Dirk Nowitzki,2014,0,0,16,2.5,81.0,Fadeaway Jump Shot,0,4.0
Jamal Crawford,2014,1,0,16,3.7,78.0,Fadeaway Jump Shot,3,2.5
Kevin Martin,2014,0,0,18,3.8,75.0,Fadeaway Jump Shot,15,10.6
Paul Millsap,2014,0,0,17,4.3,81.0,Fadeaway Jump Shot,4,3.1
Kyrie Irving,2014,1,0,16,2.8,83.0,Fadeaway Jump Shot,9,8.7
Jerryd Bayless,2014,1,0,19,6.4,74.0,Fadeaway Jump Shot,2,2.9
Taj Gibson,2014,0,0,12,2.9,83.0,Fadeaway Jump Shot,0,2.7
Dirk Nowitzki,2014,1,0,12,0.9,80.0,Fadeaway Jump Shot,1,3.4
Jamal Crawford,2014,0,0,10,4.3,80.0,Fadeaway Jump Shot,0,0.3
Gerald Green,2014,1,0,10,4.0,80.0,Fadeaway Jump Shot,5,6.4
Nene,2014,0,0,12,3.8,79.0,Fadeaway Jump Shot,3,6.6
Gerald Henderson,2014,0,0,17,3.8,76.0,Fadeaway Jump Shot,0,3.9
Nick Young,2014,1,0,11,3.4,77.0,Fadeaway Jump Shot,2,2.9
David West,2014,0,0,13,3.6,83.0,Fadeaway Jump Shot,5,5.8
Chris Bosh,2014,1,0,12,5.6,81.0,Fadeaway Jump Shot,2,2.0
Carmelo Anthony,2014,1,0,10,5.5,78.0,Fadeaway Jump Shot,3,3.9
Zach Randolph,2014,0,0,13,4.7,83.0,Fadeaway Jump Shot,1,4.8
Gerald Henderson,2014,0,0,13,5.4,83.0,Fadeaway Jump Shot,0,1.5
DeMar DeRozan,2014,0,0,16,2.8,80.0,Fadeaway Jump Shot,8,5.0
Dirk Nowitzki,2014,1,0,10,2.6,81.0,Fadeaway Jump Shot,3,5.0
Joe Johnson,2014,1,0,14,4.3,80.0,Fadeaway Jump Shot,3,2.8
Zach Randolph,2014,1,0,17,5.0,84.0,Fadeaway Jump Shot,0,2.0
Joe Johnson,2014,0,0,19,3.4,81.0,Fadeaway Jump Shot,22,17.6
Nikola Vucevic,2014,0,0,10,1.3,81.0,Fadeaway Jump Shot,2,2.1
Jeff Teague,2014,0,0,12,3.8,75.0,Fadeaway Jump Shot,13,10.4
David West,2014,0,0,10,3.3,83.0,Fadeaway Jump Shot,2,2.7
Kevin Durant,2014,1,0,13,4.0,84.0,Fadeaway Jump Shot,12,12.5
Isaiah Thomas,2014,1,0,17,5.6,83.0,Fadeaway Jump Shot,3,4.9
Isaiah Thomas,2014,1,0,15,3.9,75.0,Fadeaway Jump Shot,5,6.2
LeBron James,2014,0,0,17,4.9,82.0,Fadeaway Jump Shot,13,12.9
Kevin Durant,2014,1,0,10,4.0,80.0,Fadeaway Jump Shot,8,6.6
Paul George,2014,0,0,13,4.1,80.0,Fadeaway Jump Shot,22,16.8
Paul Millsap,2014,0,0,14,1.9,80.0,Fadeaway Jump Shot,2,3.9
Blake Griffin,2014,0,0,16,6.0,85.0,Fadeaway Jump Shot,3,2.3
Jeff Green,2014,0,0,17,6.0,83.0,Fadeaway Jump Shot,5,7.6
Kyle Lowry,2014,1,0,16,3.4,75.0,Fadeaway Jump Shot,7,5.4
DeMar DeRozan,2014,1,0,16,2.2,82.0,Fadeaway Jump Shot,3,3.1
Eric Gordon,2014,1,0,17,1.5,78.0,Fadeaway Jump Shot,0,1.6
