name,action_type,shot_distance,defender_distance,defender_height,dribbles,touch_time,shot_made_flag,isClutch
Jameer Nelson,Jump Shot,24.0,3.8,75.0,0.0,0.9,0.0,1.0
Jameer Nelson,Jump Shot,25.0,3.7,74.0,0.0,1.0,1.0,0.0
Kevin Love,Jump Shot,24.0,3.9,83.0,1.0,2.2,0.0,1.0
Kevin Love,Jump Shot,24.0,3.5,84.0,1.0,2.5,0.0,0.0
Randy Foye,Jump Shot,27.0,4.2,74.0,6.0,5.9,0.0,1.0
Randy Foye,Jump Shot,26.0,4.0,73.0,6.0,6.6,1.0,0.0
Jose Calderon,Jump Shot,25.0,4.7,77.0,0.0,0.8,0.0,1.0
Jose Calderon,Jump Shot,26.0,4.4,76.0,0.0,1.0,0.0,0.0
Anthony Morrow,Jump Shot,26.0,4.4,79.0,0.0,0.6,0.0,1.0
Anthony Morrow,Jump Shot,25.0,4.1,80.0,0.0,0.7,0.0,0.0
Darren Collison,Jump Shot,23.0,4.3,75.0,0.0,0.8,0.0,1.0
Darren Collison,Jump Shot,24.0,4.4,75.0,0.0,1.2,1.0,0.0
Tyreke Evans,Jump Shot,25.0,4.6,80.0,7.0,6.8,0.0,1.0
Tyreke Evans,Jump Shot,25.0,5.0,80.0,6.0,6.5,0.0,0.0
Joe Johnson,Jump Shot,24.0,3.4,78.0,0.0,0.7,0.0,1.0
Joe Johnson,Jump Shot,24.0,3.7,78.0,0.0,0.8,0.0,0.0
Evan Fournier,Jump Shot,26.0,5.5,78.0,0.0,0.6,0.0,1.0
Evan Fournier,Jump Shot,25.0,5.9,78.0,0.0,0.7,0.0,0.0
LeBron James,Jump Shot,25.0,4.9,83.0,4.0,3.8,0.0,1.0
LeBron James,Jump Shot,26.0,4.4,82.0,4.0,3.8,0.0,0.0
Randy Foye,Jump Shot,28.0,5.7,73.0,0.0,1.0,0.0,1.0
Randy Foye,Jump Shot,27.0,5.7,73.0,0.0,1.0,0.0,0.0
Dirk Nowitzki,Jump Shot,25.0,4.9,82.0,0.0,0.7,0.0,1.0
Dirk Nowitzki,Jump Shot,24.0,5.0,82.0,1.0,1.4,0.0,0.0
Luol Deng,Jump Shot,24.0,6.9,78.0,0.0,0.7,0.0,1.0
Luol Deng,Jump Shot,24.0,6.6,78.0,0.0,0.9,0.0,0.0
Greivis Vasquez,Jump Shot,23.0,6.9,77.0,0.0,0.6,0.0,1.0
Greivis Vasquez,Jump Shot,24.0,6.8,78.0,0.0,0.7,0.0,0.0
Isaiah Thomas,Jump Shot,25.0,2.8,79.0,0.0,0.9,0.0,1.0
Isaiah Thomas,Jump Shot,25.0,3.3,78.0,0.0,1.1,0.0,0.0
