action_type,defender_distance,defender_height,defender_name,dribbles,game_date,isClutch,name,seconds_remaining,shot_distance,shot_made_flag,shot_type,team_name,touch_time,year
Fadeaway Jump Shot,3.3,78.0,"Carroll, DeMarre",1.0,2013-12-28,1.0,Gerald Henderson,0.0,18.0,0.0,2PT Field Goal,Charlotte Bobcats,1.4,2014.0
Fadeaway Jump Shot,3.2,79.0,"Roberson, Andre",1.0,2014-03-02,0.0,Gerald Henderson,21.0,17.0,0.0,2PT Field Goal,Charlotte Bobcats,2.0,2014.0
Fadeaway Jump Shot,3.2,78.0,"Thompson, Klay",1.0,2013-11-29,1.0,Kevin Durant,25.0,16.0,0.0,2PT Field Goal,Oklahoma City Thunder,2.9,2014.0
Fadeaway Jump Shot,2.7,78.0,"Carroll, DeMarre",2.0,2013-12-10,0.0,Kevin Durant,58.0,15.0,0.0,2PT Field Goal,Oklahoma City Thunder,3.0,2014.0
Jump Shot,6.7,81.0,"Humphries, Kris",0.0,2014-01-22,1.0,Nene,0.0,19.0,0.0,2PT Field Goal,Washington Wizards,0.6,2014.0
Jump Shot,6.5,81.0,"Nicholson, Andrew",0.0,2014-04-11,0.0,Nene,50.0,18.0,0.0,2PT Field Goal,Washington Wizards,0.9,2014.0
Jump Shot,2.7,80.0,"Gay, Rudy",1.0,2013-11-17,1.0,LaMarcus Aldridge,14.0,18.0,0.0,2PT Field Goal,Portland Trail Blazers,1.9,2014.0
Jump Shot,3.2,80.0,"Faried, Kenneth",1.0,2013-11-01,0.0,LaMarcus Aldridge,2.0,17.0,1.0,2PT Field Goal,Portland Trail Blazers,1.3,2014.0
Jump Shot,7.4,83.0,Nene,0.0,2013-11-08,1.0,Kevin Garnett,14.0,19.0,0.0,2PT Field Goal,Brooklyn Nets,0.6,2014.0
Jump Shot,7.7,84.0,"Lopez, Robin",0.0,2013-11-18,0.0,Kevin Garnett,18.0,18.0,1.0,2PT Field Goal,Brooklyn Nets,1.0,2014.0
Jump Shot,5.5,84.0,"Nowitzki, Dirk",1.0,2014-04-06,1.0,DeMarcus Cousins,0.0,16.0,0.0,2PT Field Goal,Sacramento Kings,1.4,2014.0
Jump Shot,5.3,84.0,"Lopez, Robin",0.0,2014-04-09,0.0,DeMarcus Cousins,22.0,15.0,1.0,2PT Field Goal,Sacramento Kings,2.1,2014.0
Jump Shot,3.3,80.0,"Anthony, Carmelo",0.0,2013-12-18,1.0,Khris Middleton,0.0,15.0,0.0,2PT Field Goal,Milwaukee Bucks,1.0,2014.0
Jump Shot,3.6,80.0,"Green, Jeff",0.0,2013-11-30,0.0,Khris Middleton,11.0,16.0,0.0,2PT Field Goal,Milwaukee Bucks,0.6,2014.0
Jump Shot,4.4,82.0,"Perkins, Kendrick",0.0,2014-02-11,1.0,LaMarcus Aldridge,2.0,19.0,0.0,2PT Field Goal,Portland Trail Blazers,1.7,2014.0
Jump Shot,4.9,81.0,"Henson, John",0.0,2013-11-20,0.0,LaMarcus Aldridge,52.0,18.0,1.0,2PT Field Goal,Portland Trail Blazers,1.4,2014.0
Jump Shot,6.2,83.0,"Olynyk, Kelly",0.0,2014-04-14,1.0,Henry Sims,25.0,15.0,1.0,2PT Field Goal,Philadelphia 76ers,0.8,2014.0
Jump Shot,6.0,82.0,"Jefferson, Al",0.0,2014-04-02,0.0,Henry Sims,13.0,15.0,1.0,2PT Field Goal,Philadelphia 76ers,1.1,2014.0
Jump Shot,1.5,80.0,"Diaw, Boris",2.0,2014-02-01,1.0,Rudy Gay,1.0,14.0,0.0,2PT Field Goal,Sacramento Kings,2.5,2014.0
Jump Shot,1.2,80.0,"George, Paul",1.0,2014-01-14,0.0,Rudy Gay,31.0,13.0,1.0,2PT Field Goal,Sacramento Kings,2.4,2014.0
Jump Shot,8.3,80.0,"Bass, Brandon",0.0,2014-01-22,1.0,Nene,10.0,15.0,0.0,2PT Field Goal,Washington Wizards,0.8,2014.0
Jump Shot,8.0,81.0,"Allen, Lavoy",0.0,2014-01-20,0.0,Nene,13.0,14.0,0.0,2PT Field Goal,Washington Wizards,1.0,2014.0
Jump Shot,1.7,80.0,"Gay, Rudy",3.0,2014-02-12,1.0,Carmelo Anthony,1.0,15.0,0.0,2PT Field Goal,New York Knicks,4.2,2014.0
Jump Shot,2.2,80.0,"Tolliver, Anthony",2.0,2014-01-14,0.0,Carmelo Anthony,40.0,16.0,0.0,2PT Field Goal,New York Knicks,5.0,2014.0
Jump Shot,3.0,79.0,"Butler, Jimmy",0.0,2014-02-19,1.0,DeMar DeRozan,2.0,13.0,0.0,2PT Field Goal,Toronto Raptors,0.5,2014.0
Jump Shot,3.5,78.0,"Sefolosha, Thabo",0.0,2013-12-22,0.0,DeMar DeRozan,13.0,14.0,0.0,2PT Field Goal,Toronto Raptors,1.0,2014.0
